,courtname,courtid,courtcode,province
0,最高人民法院,51929EC09A42897B943E8724834C7B8D,000,北京
1,北京市高级人民法院,15DA09CC70E66F42367B20D9D6EF9CC2,100,北京
2,北京市第一中级人民法院,A030C5E9F5934E5D494C9246CB80227A,110,北京
3,北京市第二中级人民法院,B28AF1FC045CD168CCCDCACCC8D90B3A,120,北京
4,北京市第四中级人民法院,F2E0584EB8438406647B6EFD9BE407C6,130,北京
5,北京市第三中级人民法院,99A1684F7092559B1B395DB42F636AD9,140,北京
6,北京知识产权法院,80FB449A9CC280358AF2B1F724B4E4B5,150,北京
7,北京铁路运输中级法院,6254204844848834F1990CADE3A585DA,160,北京
8,天津市高级人民法院,7BED74EA4E719CE2D399AB2E7219BD34,200,天津
9,天津市第一中级人民法院,4E779DEC78C9D5253DA9E288C4949B4D,210,天津
10,天津市第二中级人民法院,06D2DFFFE13FB9516724C17A2E88C57A,220,天津
11,天津海事法院,91C6FC2592B964106CD1ECC12BA26B89,240,天津
12,天津市第三中级人民法院,5015,230,天津
13,河北省高级人民法院,B77AEC0BFF45867647C1C7FDFC787B1F,300,河北
14,河北省石家庄市中级人民法院,A13A93A60B71B1BE1245FB62AAD4B7C5,310,河北
15,河北省唐山市中级人民法院,198B5FDAFD90591D94F81BB92707AF15,320,河北
16,河北省秦皇岛市中级人民法院,9C751C0681F2889FE125AF748C608F2C,330,河北
17,河北省邯郸市中级人民法院,D1685556BB1161812E8B8FC16200E7AA,340,河北
18,河北省邢台市中级人民法院,9A063675734619720D464F874717D9F0,350,河北
19,河北省保定市中级人民法院,F326FF6D03BD9FFB85024D764B0F83FA,360,河北
20,河北省张家口市中级人民法院,7DE287A8B5E68149389246702033E129,370,河北
21,河北省承德市中级人民法院,D74CF706A2BA8D62E0D35FEC511AFD7C,380,河北
22,河北省沧州市中级人民法院,CED8159D39822F237BC4A9DD870EF8E0,390,河北
23,河北省廊坊市中级人民法院,A311064A816FE4CE1DEDE941214C2A29,3A0,河北
24,河北省衡水市中级人民法院,90DA40572CBE307A0A890E1A26B1757A,3I0,河北
25,山西省高级人民法院,5A25678F47099D8C43AD17BE7E221E91,400,山西
26,山西省太原市中级人民法院,1AEFBF7BFBD6D3DA20901B8EE3671DE8,410,山西
27,山西省大同市中级人民法院,EE0328A981FE27A0A3965538905C15F7,420,山西
28,山西省阳泉市中级人民法院,0793D050C9DD7D73A1FD6E1D6D69E2B9,430,山西
29,山西省长治市中级人民法院,3849ECA8808C37C5FB9B90F9F7E59972,440,山西
30,山西省晋城市中级人民法院,77422E190ED44F6820183CA00B4EA399,450,山西
31,山西省朔州市中级人民法院,B3C2C59708E724C73CB908FAE3B25E58,460,山西
32,山西省忻州市中级人民法院,BE5CBA4C2B0CB0B9D1B12ECE9461CEE6,480,山西
