,cname,cid
0,北京铁路运输中级法院,6254204844848834F1990CADE3A585DA
1,河北省石家庄市中级人民法院,A13A93A60B71B1BE1245FB62AAD4B7C5
2,河北省唐山市中级人民法院,198B5FDAFD90591D94F81BB92707AF15
3,河北省秦皇岛市中级人民法院,9C751C0681F2889FE125AF748C608F2C
4,河北省邯郸市中级人民法院,D1685556BB1161812E8B8FC16200E7AA
5,河北省邢台市中级人民法院,9A063675734619720D464F874717D9F0
6,河北省保定市中级人民法院,F326FF6D03BD9FFB85024D764B0F83FA
7,河北省张家口市中级人民法院,7DE287A8B5E68149389246702033E129
8,河北省承德市中级人民法院,D74CF706A2BA8D62E0D35FEC511AFD7C
9,河北省廊坊市中级人民法院,A311064A816FE4CE1DEDE941214C2A29
10,河北省衡水市中级人民法院,90DA40572CBE307A0A890E1A26B1757A
11,山西省吕梁市中级人民法院,6B5D05FB62CCE7644397640009D2039C
12,山西省晋中市中级人民法院,1B495BF359B3F6174FF36A3817C4A1FC
13,山西省运城市中级人民法院,3C20D85563CE0AAFBA8033A20322595E
14,北京铁路运输中级法院,6254204844848834F1990CADE3A585DA
15,河北省石家庄市中级人民法院,A13A93A60B71B1BE1245FB62AAD4B7C5
16,河北省唐山市中级人民法院,198B5FDAFD90591D94F81BB92707AF15
17,河北省秦皇岛市中级人民法院,9C751C0681F2889FE125AF748C608F2C
18,河北省邯郸市中级人民法院,D1685556BB1161812E8B8FC16200E7AA
19,河北省邢台市中级人民法院,9A063675734619720D464F874717D9F0
20,河北省保定市中级人民法院,F326FF6D03BD9FFB85024D764B0F83FA
21,河北省张家口市中级人民法院,7DE287A8B5E68149389246702033E129
22,河北省承德市中级人民法院,D74CF706A2BA8D62E0D35FEC511AFD7C
23,河北省廊坊市中级人民法院,A311064A816FE4CE1DEDE941214C2A29
24,河北省衡水市中级人民法院,90DA40572CBE307A0A890E1A26B1757A
25,山西省吕梁市中级人民法院,6B5D05FB62CCE7644397640009D2039C
26,山西省晋中市中级人民法院,1B495BF359B3F6174FF36A3817C4A1FC
